rannum,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb,time_remaining,shot_made_flag,action_type_cat,comb_type_cat,shot_type_cat,shot_zone_cat,shot_zone_bas_cat,shot_zone_range_cat,opponent_cat,0,1,_INTO_
51,Layup Shot,Layup,281,20000047,34.0253,-12,19,-118.2818,4,3,0,2000-01,29,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/04/2000,LAL @ VAN,VAN,45,14081,72,95.09,269,,27,5,1,2,6,5,3,0.3215371303,0.6784628697,1
52,Jump Shot,Jump Shot,410,20000047,34.0143,-176,30,-118.4458,3,4,0,2000-01,19,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/04/2000,LAL @ VAN,VAN,50,14081,72,95.09,199,,26,4,1,4,5,1,3,0.6179866608,0.3820133392,0
64,Jump Shot,Jump Shot,60,20000049,33.7973,-141,247,-118.4108,4,1,0,2000-01,58,28,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/05/2000,LAL vs. LAC,LAC,55,16092,70,95.2,298,,26,4,2,3,1,2,4,0.8343905457,0.1656094543,0
65,Jump Shot,Jump Shot,199,20000049,33.8033,146,241,-118.1238,3,2,0,2000-01,10,28,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/05/2000,LAL vs. LAC,LAC,60,16092,70,95.2,190,,26,4,2,5,1,2,4,0.8343905457,0.1656094543,0
66,Jump Shot,Jump Shot,397,20000049,33.9533,-10,91,-118.2798,10,4,0,2000-01,13,9,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/05/2000,LAL vs. LAC,LAC,66,16092,70,95.2,613,,26,4,1,2,3,3,4,0.7438583882,0.2561416118,0
80,Jump Shot,Jump Shot,22,20000058,34.0083,-119,36,-118.3888,9,1,0,2000-01,6,12,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/07/2000,LAL @ HOU,HOU,67,16025,70,92.22,546,,26,4,1,4,5,3,5,0.3797321527,0.6202678473,1
81,Jump Shot,Jump Shot,55,20000058,33.9343,159,110,-118.1108,5,1,0,2000-01,15,19,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/07/2000,LAL @ HOU,HOU,71,16025,70,92.22,315,,26,4,1,6,5,1,5,0.4718983299,0.5281016701,1
82,Jump Shot,Jump Shot,313,20000058,33.9973,58,47,-118.2118,11,4,0,2000-01,49,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/07/2000,LAL @ HOU,HOU,80,16025,70,92.22,709,,26,4,1,2,3,5,5,0.3747818555,0.6252181445,1
109,Jump Shot,Jump Shot,20,20000068,33.9743,-29,70,-118.2988,9,1,0,2000-01,48,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/08/2000,LAL @ SAS,SAS,85,13750,68,93.33,588,,26,4,1,2,3,5,6,0.4648334428,0.5351665572,1
110,Turnaround Jump Shot,Jump Shot,33,20000068,33.9953,-124,49,-118.3938,7,1,0,2000-01,26,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/08/2000,LAL @ SAS,SAS,86,13750,68,93.33,446,,55,4,1,4,5,3,6,0.5112266303,0.4887733697,0
111,Turnaround Jump Shot,Jump Shot,180,20000068,34.0403,132,4,-118.1378,4,2,0,2000-01,25,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/08/2000,LAL @ SAS,SAS,95,13750,68,93.33,265,,55,4,1,6,5,3,6,0.5112266303,0.4887733697,0
112,Jump Shot,Jump Shot,286,20000068,33.9073,-101,137,-118.3708,4,3,0,2000-01,16,17,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/08/2000,LAL @ SAS,SAS,104,13750,68,93.33,256,,26,4,1,3,5,1,6,0.635133131,0.364866869,0
113,Jump Shot,Jump Shot,418,20000068,33.8943,-151,150,-118.4208,0,4,0,2000-01,43,21,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/08/2000,LAL @ SAS,SAS,113,13750,68,93.33,43,,26,4,1,3,5,1,6,0.5746780645,0.4253219355,0
139,Jump Shot,Jump Shot,217,20000098,33.9913,-155,53,-118.4248,2,2,0,2000-01,40,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,123,15229,71,95.42,160,,26,4,1,4,5,1,5,0.6387276452,0.3612723548,0
140,Running Jump Shot,Jump Shot,261,20000098,33.9113,-96,133,-118.3658,9,3,0,2000-01,59,16,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,126,15229,71,95.42,599,,41,4,1,3,5,1,5,0.6387276452,0.3612723548,0
141,Reverse Layup Shot,Layup,327,20000098,34.0443,0,0,-118.2698,2,3,0,2000-01,56,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,133,15229,71,95.42,176,,34,5,1,2,6,5,5,0.2445981651,0.7554018349,1
142,Jump Shot,Jump Shot,492,20000098,34.0083,45,36,-118.2248,1,4,0,2000-01,5,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,11/12/2000,LAL vs. HOU,HOU,141,15229,71,95.42,65,,26,4,1,2,3,5,5,0.3922597968,0.6077402032,1
159,Jump Shot,Jump Shot,55,20000108,34.0333,237,11,-118.0328,4,1,0,2000-01,52,23,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,144,14773,71,91.64,292,,26,4,2,6,7,2,7,0.9977927893,0.0022072107,0
160,Driving Layup Shot,Layup,120,20000108,34.0443,0,0,-118.2698,10,2,0,2000-01,5,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,150,14773,71,91.64,605,,12,5,1,2,6,5,7,0.254404748,0.745595252,1
161,Jump Shot,Jump Shot,179,20000108,33.8753,7,169,-118.2628,4,2,0,2000-01,14,16,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,152,14773,71,91.64,254,,26,4,1,2,5,1,7,0.6712928959,0.3287071041,0
162,Driving Layup Shot,Layup,186,20000108,34.0443,0,0,-118.2698,3,2,0,2000-01,22,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,153,14773,71,91.64,202,,12,5,1,2,6,5,7,0.254404748,0.745595252,1
163,Tip Shot,Tip Shot,220,20000108,34.0443,0,0,-118.2698,0,2,0,2000-01,26,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,156,14773,71,91.64,26,,50,6,1,2,6,5,7,0.254404748,0.745595252,1
164,Reverse Dunk Shot,Dunk,318,20000108,34.0443,0,0,-118.2698,3,3,0,2000-01,53,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,159,14773,71,91.64,233,,33,2,1,2,6,5,7,0.254404748,0.745595252,1
165,Dunk Shot,Dunk,418,20000108,34.0443,0,0,-118.2698,5,4,0,2000-01,32,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/14/2000,LAL vs. DEN,DEN,165,14773,71,91.64,332,,15,2,1,2,6,5,7,0.254404748,0.745595252,1
187,Jump Shot,Jump Shot,77,20000124,33.8503,70,194,-118.1998,1,1,0,2000-01,36,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,172,13184,67,93.81,96,,26,4,1,5,5,1,8,0.5766590922,0.4233409078,0
188,Alley Oop Dunk Shot,Dunk,328,20000124,34.0443,0,0,-118.2698,11,4,0,2000-01,44,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/16/2000,LAL @ SAC,SAC,182,13184,67,93.81,704,,1,2,1,2,6,5,8,0.316013808,0.683986192,1
208,Jump Shot,Jump Shot,54,20000140,34.0503,174,-6,-118.0958,6,1,0,2000-01,24,17,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,192,16017,69,98.64,384,,26,4,1,6,5,1,7,0.512676246,0.487323754,0
209,Driving Layup Shot,Layup,57,20000140,34.0443,0,0,-118.2698,6,1,0,2000-01,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,193,16017,69,98.64,362,,12,5,1,2,6,5,7,0.2166395224,0.7833604776,1
210,Jump Shot,Jump Shot,100,20000140,34.0403,153,4,-118.1168,0,1,0,2000-01,18,15,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,196,16017,69,98.64,18,,26,4,1,6,5,3,7,0.5562056423,0.4437943577,0
211,Jump Shot,Jump Shot,256,20000140,33.9783,-162,66,-118.4318,10,3,0,2000-01,5,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,202,16017,69,98.64,605,,26,4,1,4,5,1,7,0.512676246,0.487323754,0
212,Jump Shot,Jump Shot,411,20000140,33.8883,-214,156,-118.4838,5,4,0,2000-01,19,26,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,210,16017,69,98.64,319,,26,4,2,3,1,2,7,0.6778065089,0.3221934911,0
213,Jump Shot,Jump Shot,425,20000140,33.9073,-149,137,-118.4188,3,4,0,2000-01,38,20,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/18/2000,LAL @ DEN,DEN,211,16017,69,98.64,218,,26,4,1,3,5,1,7,0.4356228248,0.5643771752,1
235,Driving Dunk Shot,Dunk,322,20000147,34.0443,0,0,-118.2698,0,3,0,2000-01,4,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/19/2000,LAL vs. CHI,CHI,228,15396,70,93.19,4,,5,2,1,2,6,5,9,0.2363169961,0.7636830039,1
271,Jump Shot,Jump Shot,56,20000180,33.8903,106,154,-118.1638,6,1,0,2000-01,22,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,257,15954,71,95.3,382,,26,4,1,5,5,1,11,0.4864104269,0.5135895731,1
272,Jump Shot,Jump Shot,86,20000180,33.8903,106,154,-118.1638,3,1,0,2000-01,25,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,260,15954,71,95.3,205,,26,4,1,5,5,1,11,0.4864104269,0.5135895731,1
273,Jump Shot,Jump Shot,256,20000180,33.9073,115,137,-118.1548,9,3,0,2000-01,18,17,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,264,15954,71,95.3,558,,26,4,1,5,5,1,11,0.5364755154,0.4635244846,0
274,Turnaround Jump Shot,Jump Shot,308,20000180,34.0633,-141,-19,-118.4108,3,3,0,2000-01,12,14,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/24/2000,LAL vs. MIN,MIN,267,15954,71,95.3,192,,55,4,1,4,5,3,11,0.4780989848,0.5219010152,1
291,Alley Oop Dunk Shot,Dunk,62,20000198,34.0443,0,0,-118.2698,5,1,0,2000-01,17,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,279,16833,72,97.43,317,,1,2,1,2,6,5,4,0.1880933983,0.8119066017,1
292,Jump Shot,Jump Shot,207,20000198,33.9033,98,141,-118.1718,2,2,0,2000-01,38,17,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,282,16833,72,97.43,158,,26,4,1,5,5,1,4,0.4794312435,0.5205687565,1
293,Jump Shot,Jump Shot,374,20000198,33.9283,51,116,-118.2188,10,4,0,2000-01,39,12,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/27/2000,LAL @ LAC,LAC,293,16833,72,97.43,639,,26,4,1,2,3,3,4,0.4462596871,0.5537403129,1
314,Running Jump Shot,Jump Shot,171,20000206,33.9383,-65,106,-118.3348,8,2,0,2000-01,11,12,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,299,16489,71,94,491,,41,4,1,4,3,3,12,0.4773950195,0.5226049805,1
315,Turnaround Jump Shot,Jump Shot,203,20000206,33.9383,-115,106,-118.3848,6,2,0,2000-01,11,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,300,16489,71,94,371,,55,4,1,4,5,3,12,0.5410631202,0.4589368798,0
316,Running Jump Shot,Jump Shot,205,20000206,33.9893,-86,55,-118.3558,5,2,0,2000-01,47,10,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,301,16489,71,94,347,,41,4,1,4,5,3,12,0.3487530185,0.6512469815,1
317,Jump Shot,Jump Shot,439,20000206,33.8273,-117,217,-118.3868,9,4,0,2000-01,23,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/28/2000,LAL vs. IND,IND,317,16489,71,94,563,,26,4,2,3,1,2,12,0.5690900775,0.4309099225,0
332,Jump Shot,Jump Shot,243,20000222,33.8603,167,184,-118.1028,0,2,0,2000-01,28,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,11/30/2000,LAL @ SEA,SEA,327,14290,71,92.8,28,,26,4,2,5,1,2,13,0.6478644442,0.3521355558,0
333,Jump Shot,Jump Shot,254,20000222,34.0253,129,19,-118.1408,10,3,0,2000-01,59,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,11/30/2000,LAL @ SEA,SEA,328,14290,71,92.8,659,,26,4,1,6,5,3,13,0.4888108067,0.5111891933,1
362,Layup Shot,Layup,36,20000230,34.0443,0,0,-118.2698,8,1,0,2000-01,14,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/01/2000,LAL vs. SAS,SAS,335,14925,70,93.42,494,,27,5,1,2,6,5,6,0.2526687722,0.7473312278,1
363,Running Jump Shot,Jump Shot,208,20000230,33.9893,-16,55,-118.2858,3,2,0,2000-01,14,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/01/2000,LAL vs. SAS,SAS,346,14925,70,93.42,194,,41,4,1,2,3,5,6,0.4022799084,0.5977200916,1
364,Jump Shot,Jump Shot,267,20000230,33.9763,26,68,-118.2438,10,3,0,2000-01,15,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/01/2000,LAL vs. SAS,SAS,348,14925,70,93.42,615,,26,4,1,2,3,5,6,0.4196696712,0.5803303288,1
389,Jump Shot,Jump Shot,4,20000246,33.8633,-16,181,-118.2858,11,1,0,2000-01,18,18,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/03/2000,LAL vs. DAL,DAL,365,16383,70,100.43,678,,26,4,1,2,5,1,14,0.4326180294,0.5673819706,1
390,Driving Layup Shot,Layup,428,20000246,34.0443,0,0,-118.2698,4,4,0,2000-01,16,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/03/2000,LAL vs. DAL,DAL,390,16383,70,100.43,256,,12,5,1,2,6,5,14,0.2019485464,0.7980514536,1
391,Driving Layup Shot,Layup,466,20000246,34.0443,0,0,-118.2698,1,4,0,2000-01,14,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/03/2000,LAL vs. DAL,DAL,391,16383,70,100.43,74,,12,5,1,2,6,5,14,0.2019485464,0.7980514536,1
392,Running Jump Shot,Jump Shot,473,20000246,34.0333,-73,11,-118.3428,0,4,0,2000-01,41,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/03/2000,LAL vs. DAL,DAL,392,16383,70,100.43,41,,41,4,1,2,3,5,14,0.3580465795,0.6419534205,1
419,Jump Shot,Jump Shot,99,20000258,33.7973,117,247,-118.1528,1,1,0,2000-01,27,27,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/05/2000,LAL vs. PHI,PHI,397,15437,72,91.39,87,,26,4,2,5,1,2,15,0.7832934304,0.2167065696,0
420,Jump Shot,Jump Shot,439,20000258,33.8633,153,181,-118.1168,4,4,0,2000-01,16,23,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/05/2000,LAL vs. PHI,PHI,418,15437,72,91.39,256,,26,4,1,5,5,1,15,0.6184349702,0.3815650298,0
452,Jump Shot,Jump Shot,106,20000267,34.0443,-147,0,-118.4168,0,1,0,2000-01,0,14,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/06/2000,LAL @ GSW,GSW,428,14931,67,93.95,1,,26,4,1,4,5,3,10,0.5252544022,0.4747455978,0
453,Turnaround Jump Shot,Jump Shot,201,20000267,33.9783,-60,66,-118.3298,0,2,0,2000-01,33,8,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/06/2000,LAL @ GSW,GSW,434,14931,67,93.95,33,,55,4,1,4,3,3,10,0.8626594402,0.1373405598,0
454,Layup Shot,Layup,250,20000267,34.0443,0,0,-118.2698,8,3,0,2000-01,25,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/06/2000,LAL @ GSW,GSW,439,14931,67,93.95,505,,27,5,1,2,6,5,10,0.2533251491,0.7466748509,1
455,Jump Shot,Jump Shot,267,20000267,33.8163,96,228,-118.1738,6,3,0,2000-01,37,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/06/2000,LAL @ GSW,GSW,440,14931,67,93.95,397,,26,4,2,5,1,2,10,0.625680393,0.374319607,0
477,Jump Shot,Jump Shot,2,20000280,33.9113,-86,133,-118.3558,11,1,0,2000-01,43,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/08/2000,LAL vs. SEA,SEA,456,15402,66,96.36,703,,26,4,1,4,5,3,13,0.5889367278,0.4110632722,0
478,Jump Shot,Jump Shot,55,20000280,34.0103,60,34,-118.2098,6,1,0,2000-01,24,6,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,12/08/2000,LAL vs. SEA,SEA,459,15402,66,96.36,384,,26,4,1,2,3,5,13,0.3837130819,0.6162869181,1
479,Jump Shot,Jump Shot,283,20000280,33.8733,117,171,-118.1528,7,3,0,2000-01,35,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/08/2000,LAL vs. SEA,SEA,472,15402,66,96.36,455,,26,4,1,5,5,1,13,0.4767757888,0.5232242112,1
480,Jump Shot,Jump Shot,477,20000280,34.0403,-101,4,-118.3708,1,4,0,2000-01,43,10,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/08/2000,LAL vs. SEA,SEA,480,15402,66,96.36,103,,26,4,1,4,5,3,13,0.3910879396,0.6089120604,1
500,Jump Shot,Jump Shot,226,20000297,33.8183,153,226,-118.1168,1,2,0,2000-01,19,27,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/10/2000,LAL vs. DET,DET,491,14703,71,96.15,79,,26,4,2,5,1,2,16,0.7961600633,0.2038399367,0
501,Jump Shot,Jump Shot,302,20000297,33.9173,87,127,-118.1828,5,3,0,2000-01,16,15,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,12/10/2000,LAL vs. DET,DET,497,14703,71,96.15,316,,26,4,1,6,5,3,16,0.6201745285,0.3798254715,0
530,Jump Shot,Jump Shot,106,20000309,33.7873,32,257,-118.2378,2,1,0,2000-01,33,25,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,509,14806,68,93.75,153,,26,4,2,2,1,2,17,0.6715741205,0.3284258795,0
531,Jump Shot,Jump Shot,120,20000309,33.8523,180,192,-118.0898,0,1,0,2000-01,44,26,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,511,14806,68,93.75,44,,26,4,2,5,1,2,17,0.72922159,0.27077841,0
532,Jump Shot,Jump Shot,365,20000309,33.9383,-16,106,-118.2858,0,3,0,2000-01,0,10,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,12/12/2000,LAL vs. MIL,MIL,523,14806,68,93.75,1,,26,4,1,2,3,3,17,0.6983799801,0.3016200199,0
554,Jump Shot,Jump Shot,27,20000320,33.9363,161,108,-118.1088,8,1,0,2000-01,53,19,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,533,15316,74,95.93,533,,26,4,1,6,5,1,1,0.4858982831,0.5141017169,1
555,Layup Shot,Layup,228,20000320,34.0443,0,0,-118.2698,1,2,0,2000-01,11,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,544,15316,74,95.93,71,,27,5,1,2,6,5,1,0.2419059813,0.7580940187,1
556,Jump Shot,Jump Shot,275,20000320,34.0403,226,4,-118.0438,8,3,0,2000-01,36,22,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,12/13/2000,LAL @ POR,POR,546,15316,74,95.93,516,,26,4,2,6,7,2,1,0.9934443134,0.0065556866,0
